date,item_id,item_type,item_name,unit_cost,min_required,max_capacity,current_stock,avg_usage_per_day,restock_lead_time,vendor_id
2022-01-01,202,Consumable,Surgical Mask,7,8222,30476,23033,2215,9,V002
2022-01-01,101,Equipment,X-Ray-Machine,3863821,2,17,10,1,29,V003
2022-01-01,203,Consumable,Gown,102,1609,4231,2073,281,8,V005
2022-01-01,206,Consumable,Bandages,42,1732,9898,3921,909,8,V003
2022-01-02,107,Equipment,Infusion Pump,125406,9,28,11,8,10,V004
2022-01-02,100,Equipment,Ventilator,2232401,8,40,26,5,27,V005
2022-01-03,105,Equipment,ECG Machine,366194,4,12,10,1,26,V003
2022-01-03,203,Consumable,Gown,81,1508,7165,1986,335,9,V004
2022-01-03,206,Consumable,Bandages,41,1087,11026,5091,625,10,V005
2022-01-03,100,Equipment,Ventilator,2900485,6,31,10,5,17,V003
2022-01-03,104,Equipment,Hospital Bed,16130,42,247,247,3,26,V004
2022-01-03,106,Equipment,MRI Scanner,31100685,1,5,1,0,38,V003
2022-01-03,206,Consumable,Bandages,29,3015,9359,7711,683,7,V001
2022-01-04,200,Consumable,Gloves,7,2308,6100,4980,743,6,V004
2022-01-04,204,Consumable,Face Shield,74,555,6149,4503,233,5,V003
2022-01-04,106,Equipment,MRI Scanner,32971025,1,2,2,0,44,V004
2022-01-04,106,Equipment,MRI Scanner,31100685,2,4,3,1,35,V003
2022-01-04,201,Consumable,IV Drip,270,633,4009,1660,59,10,V001
2022-01-04,101,Equipment,X-Ray-Machine,4180254,1,18,5,1,21,V002
2022-01-05,104,Equipment,Hospital Bed,28362,31,236,49,3,23,V001
2022-01-05,102,Equipment,Defibrilator,384358,5,9,5,1,34,V003
2022-01-05,208,Consumable,Antiseptic Solution,378,994,5879,4769,469,7,V004
2022-01-05,209,Consumable,Cotton Rolls,85,927,3790,1148,151,6,V003
2022-01-06,104,Equipment,Hospital Bed,16130,80,163,153,3,19,V004
2022-01-06,100,Equipment,Ventilator,2900485,8,36,35,2,30,V003
2022-01-06,204,Consumable,Face Shield,74,1510,5036,3006,296,7,V003
2022-01-06,103,Equipment,Wheelchair,15622,19,34,20,1,15,V004
2022-01-08,206,Consumable,Bandages,42,3825,6162,5210,461,5,V003
2022-01-08,209,Consumable,Cotton Rolls,54,358,5176,1553,143,8,V002
2022-01-09,209,Consumable,Cotton Rolls,123,772,3517,1642,172,4,V001
2022-01-09,100,Equipment,Ventilator,2232401,4,35,19,5,28,V005
2022-01-09,100,Equipment,Ventilator,3142549,8,40,24,2,30,V002
2022-01-09,100,Equipment,Ventilator,3142549,3,40,39,3,21,V002
2022-01-09,103,Equipment,Wheelchair,6566,9,69,54,5,19,V001
2022-01-10,205,Consumable,Syringe,23,2510,18521,3326,408,6,V005
2022-01-11,200,Consumable,Gloves,7,2266,7090,6096,766,8,V004
2022-01-11,107,Equipment,Infusion Pump,176921,7,21,13,10,14,V001
2022-01-11,107,Equipment,Infusion Pump,176921,5,18,13,14,17,V001
2022-01-11,207,Consumable,Blood Bags,1054,601,1606,695,44,12,V002
2022-01-11,208,Consumable,Antiseptic Solution,505,1318,7147,1775,267,5,V003
2022-01-11,101,Equipment,X-Ray-Machine,3627022,4,11,8,0,25,V004
2022-01-11,202,Consumable,Surgical Mask,7,4191,35198,4456,1197,9,V003
2022-01-12,200,Consumable,Gloves,5,2529,9158,5983,353,5,V001
2022-01-12,206,Consumable,Bandages,41,1355,8270,3920,1284,7,V002
2022-01-12,204,Consumable,Face Shield,78,644,4779,4255,716,3,V004
2022-01-12,209,Consumable,Cotton Rolls,58,707,3501,3333,284,4,V005
